Date;TNq (°C);Nor TNq (°C);Eca TNq (°C);Nor TNm (°C);Recmin TNq M r1 (°C);Date recmin TNq M r1;Recmax TNq M r1 (°C);Date recmax TNq M r1;Période des records;
20190228;6,6;0,5;6,1;0,5;-16,2;20120207;10,1;20200201;1966-2020;
20190227;2,3;0,4;1,9;0,4;-16,2;20120207;10,1;20200201;1966-2020;
20190226;0,9;0,3;0,6;0,3;-16,2;20120207;10,1;20200201;1966-2020;
20190225;1,2;0,2;1,0;0,2;-16,2;20120207;10,1;20200201;1966-2020;
20190224;0,7;0,1;0,6;0,1;-16,2;20120207;10,1;20200201;1966-2020;
20190223;2,1;0,0;2,1;0,0;-16,2;20120207;10,1;20200201;1966-2020;
20190222;5,1;-0,1;5,2;-0,1;-16,2;20120207;10,1;20200201;1966-2020;
20190221;1,8;-0,2;2,0;-0,2;-16,2;20120207;10,1;20200201;1966-2020;
20190220;2,1;-0,3;2,4;-0,3;-16,2;20120207;10,1;20200201;1966-2020;
20190219;5,0;-0,4;5,4;-0,4;-16,2;20120207;10,1;20200201;1966-2020;
20190218;5,9;-0,4;6,4;-0,4;-16,2;20120207;10,1;20200201;1966-2020;
20190217;6,0;-0,5;6,5;-0,5;-16,2;20120207;10,1;20200201;1966-2020;
20190216;-0,5;-0,6;0,1;-0,6;-16,2;20120207;10,1;20200201;1966-2020;
20190215;-1,6;-0,7;-0,9;-0,7;-16,2;20120207;10,1;20200201;1966-2020;
20190214;-3,4;-0,8;-2,6;-0,8;-16,2;20120207;10,1;20200201;1966-2020;
20190213;-5,2;-0,8;-4,4;-0,8;-16,2;20120207;10,1;20200201;1966-2020;
20190212;-2,3;-0,9;-1,4;-0,9;-16,2;20120207;10,1;20200201;1966-2020;
20190211;1,3;-1,0;2,3;-1,0;-16,2;20120207;10,1;20200201;1966-2020;
20190210;2,8;-1,0;3,8;-1,0;-16,2;20120207;10,1;20200201;1966-2020;
20190209;4,9;-1,1;6,0;-1,1;-16,2;20120207;10,1;20200201;1966-2020;
20190208;3,5;-1,1;4,6;-1,1;-16,2;20120207;10,1;20200201;1966-2020;
20190207;1,1;-1,2;2,3;-1,2;-16,2;20120207;10,1;20200201;1966-2020;
20190206;-3,2;-1,2;-2,0;-1,2;-16,2;20120207;10,1;20200201;1966-2020;
20190205;-3,1;-1,2;-1,9;-1,2;-16,2;20120207;10,1;20200201;1966-2020;
20190204;-4,0;-1,2;-2,8;-1,2;-16,2;20120207;10,1;20200201;1966-2020;
20190203;0,3;-1,3;1,6;-1,3;-16,2;20120207;10,1;20200201;1966-2020;
20190202;1,2;-1,3;2,5;-1,3;-16,2;20120207;10,1;20200201;1966-2020;
20190201;-0,3;-1,3;1,0;-1,3;-16,2;20120207;10,1;20200201;1966-2020;
20190131;-1,0;-1,3;0,3;-1,3;-19,1;19870112;11,2;20070119;1966-2020;
20190130;-0,8;-1,3;0,5;-1,3;-19,1;19870112;11,2;20070119;1966-2020;
20190129;-1,3;-1,3;0,0;-1,3;-19,1;19870112;11,2;20070119;1966-2020;
20190128;0,3;-1,3;1,6;-1,3;-19,1;19870112;11,2;20070119;1966-2020;
20190127;1,9;-1,3;3,2;-1,3;-19,1;19870112;11,2;20070119;1966-2020;
20190126;-0,5;-1,3;0,8;-1,3;-19,1;19870112;11,2;20070119;1966-2020;
20190125;-5,1;-1,3;-3,8;-1,3;-19,1;19870112;11,2;20070119;1966-2020;
20190124;-4,4;-1,2;-3,2;-1,2;-19,1;19870112;11,2;20070119;1966-2020;
20190123;-2,4;-1,2;-1,2;-1,2;-19,1;19870112;11,2;20070119;1966-2020;
20190122;-7,0;-1,2;-5,8;-1,2;-19,1;19870112;11,2;20070119;1966-2020;
20190121;-7,0;-1,2;-5,8;-1,2;-19,1;19870112;11,2;20070119;1966-2020;
20190120;-1,9;-1,1;-0,8;-1,1;-19,1;19870112;11,2;20070119;1966-2020;
20190119;-6,0;-1,1;-4,9;-1,1;-19,1;19870112;11,2;20070119;1966-2020;
20190118;-2,2;-1,1;-1,1;-1,1;-19,1;19870112;11,2;20070119;1966-2020;
20190117;0,9;-1,0;1,9;-1,0;-19,1;19870112;11,2;20070119;1966-2020;
20190116;-0,7;-1,0;0,3;-1,0;-19,1;19870112;11,2;20070119;1966-2020;
20190115;1,8;-1,0;2,8;-1,0;-19,1;19870112;11,2;20070119;1966-2020;
20190114;2,9;-0,9;3,8;-0,9;-19,1;19870112;11,2;20070119;1966-2020;
20190113;4,0;-0,9;4,9;-0,9;-19,1;19870112;11,2;20070119;1966-2020;
20190112;0,2;-0,8;1,0;-0,8;-19,1;19870112;11,2;20070119;1966-2020;
20190111;-3,7;-0,8;-2,9;-0,8;-19,1;19870112;11,2;20070119;1966-2020;
20190110;-0,9;-0,8;-0,1;-0,8;-19,1;19870112;11,2;20070119;1966-2020;
20190109;1,0;-0,7;1,7;-0,7;-19,1;19870112;11,2;20070119;1966-2020;
20190108;2,8;-0,7;3,5;-0,7;-19,1;19870112;11,2;20070119;1966-2020;
