Date;TNq (°C);Nor TNq (°C);Eca TNq (°C);Nor TNm (°C);Recmin TNq M r1 (°C);Date recmin TNq M r1;Recmax TNq M r1 (°C);Date recmax TNq M r1;Période des records;
20190228;1,5;0,7;0,8;0,7;-22,3;19290215;12,2;19970225;1924-2020;
20190227;-1,4;0,6;-2,0;0,6;-22,3;19290215;12,2;19970225;1924-2020;
20190226;-0,2;0,5;-0,7;0,5;-22,3;19290215;12,2;19970225;1924-2020;
20190225;0,5;0,4;0,1;0,4;-22,3;19290215;12,2;19970225;1924-2020;
20190224;-1,1;0,3;-1,4;0,3;-22,3;19290215;12,2;19970225;1924-2020;
20190223;1,4;0,2;1,3;0,2;-22,3;19290215;12,2;19970225;1924-2020;
20190222;6,3;0,1;6,3;0,1;-22,3;19290215;12,2;19970225;1924-2020;
20190221;-1,4;-0,1;-1,3;-0,1;-22,3;19290215;12,2;19970225;1924-2020;
20190220;-0,9;-0,2;-0,7;-0,2;-22,3;19290215;12,2;19970225;1924-2020;
20190219;0,9;-0,2;1,2;-0,2;-22,3;19290215;12,2;19970225;1924-2020;
20190218;-2,9;-0,3;-2,6;-0,3;-22,3;19290215;12,2;19970225;1924-2020;
20190217;-3,2;-0,4;-2,8;-0,4;-22,3;19290215;12,2;19970225;1924-2020;
20190216;-4,0;-0,5;-3,5;-0,5;-22,3;19290215;12,2;19970225;1924-2020;
20190215;-3,1;-0,6;-2,5;-0,6;-22,3;19290215;12,2;19970225;1924-2020;
20190214;-2,8;-0,7;-2,1;-0,7;-22,3;19290215;12,2;19970225;1924-2020;
20190213;-3,8;-0,7;-3,1;-0,7;-22,3;19290215;12,2;19970225;1924-2020;
20190212;-0,1;-0,8;0,7;-0,8;-22,3;19290215;12,2;19970225;1924-2020;
20190211;2,1;-0,9;3,0;-0,9;-22,3;19290215;12,2;19970225;1924-2020;
20190210;4,8;-0,9;5,7;-0,9;-22,3;19290215;12,2;19970225;1924-2020;
20190209;4,2;-1,0;5,2;-1,0;-22,3;19290215;12,2;19970225;1924-2020;
20190208;1,9;-1,0;2,9;-1,0;-22,3;19290215;12,2;19970225;1924-2020;
20190207;-2,1;-1,0;-1,1;-1,0;-22,3;19290215;12,2;19970225;1924-2020;
20190206;-4,6;-1,1;-3,5;-1,1;-22,3;19290215;12,2;19970225;1924-2020;
20190205;-3,3;-1,1;-2,2;-1,1;-22,3;19290215;12,2;19970225;1924-2020;
20190204;-3,0;-1,1;-1,9;-1,1;-22,3;19290215;12,2;19970225;1924-2020;
20190203;2,1;-1,1;3,2;-1,1;-22,3;19290215;12,2;19970225;1924-2020;
20190202;3,6;-1,2;4,8;-1,2;-22,3;19290215;12,2;19970225;1924-2020;
20190201;1,0;-1,2;2,2;-1,2;-22,3;19290215;12,2;19970225;1924-2020;
20190131;-1,8;-1,2;-0,6;-1,2;-23,6;19420123;11,9;20070120;1924-2020;
20190130;-2,3;-1,2;-1,1;-1,2;-23,6;19420123;11,9;20070120;1924-2020;
20190129;0,1;-1,2;1,3;-1,2;-23,6;19420123;11,9;20070120;1924-2020;
20190128;1,7;-1,1;2,9;-1,1;-23,6;19420123;11,9;20070120;1924-2020;
20190127;3,7;-1,1;4,8;-1,1;-23,6;19420123;11,9;20070120;1924-2020;
20190126;0,3;-1,1;1,4;-1,1;-23,6;19420123;11,9;20070120;1924-2020;
20190125;-3,0;-1,1;-1,9;-1,1;-23,6;19420123;11,9;20070120;1924-2020;
20190124;-2,7;-1,1;-1,6;-1,1;-23,6;19420123;11,9;20070120;1924-2020;
20190123;-4,8;-1,0;-3,8;-1,0;-23,6;19420123;11,9;20070120;1924-2020;
20190122;-7,9;-1,0;-6,9;-1,0;-23,6;19420123;11,9;20070120;1924-2020;
20190121;-3,4;-1,0;-2,4;-1,0;-23,6;19420123;11,9;20070120;1924-2020;
20190120;-3,4;-0,9;-2,5;-0,9;-23,6;19420123;11,9;20070120;1924-2020;
20190119;-4,2;-0,9;-3,3;-0,9;-23,6;19420123;11,9;20070120;1924-2020;
20190118;-1,4;-0,9;-0,5;-0,9;-23,6;19420123;11,9;20070120;1924-2020;
20190117;3,7;-0,8;4,5;-0,8;-23,6;19420123;11,9;20070120;1924-2020;
20190116;-0,8;-0,8;0,0;-0,8;-23,6;19420123;11,9;20070120;1924-2020;
20190115;0,9;-0,8;1,7;-0,8;-23,6;19420123;11,9;20070120;1924-2020;
20190114;3,8;-0,7;4,5;-0,7;-23,6;19420123;11,9;20070120;1924-2020;
20190113;3,9;-0,7;4,6;-0,7;-23,6;19420123;11,9;20070120;1924-2020;
20190112;0,0;-0,6;0,6;-0,6;-23,6;19420123;11,9;20070120;1924-2020;
20190111;-1,7;-0,6;-1,1;-0,6;-23,6;19420123;11,9;20070120;1924-2020;
20190110;0,8;-0,6;1,4;-0,6;-23,6;19420123;11,9;20070120;1924-2020;
20190109;1,5;-0,5;2,0;-0,5;-23,6;19420123;11,9;20070120;1924-2020;
20190108;2,9;-0,5;3,4;-0,5;-23,6;19420123;11,9;20070120;1924-2020;
20190107;2,3;-0,4;2,7;-0,4;-23,6;19420123;11,9;20070120;1924-2020;
20190106;3,5;-0,4;3,9;-0,4;-23,6;19420123;11,9;20070120;1924-2020;
20190105;0,5;-0,4;0,9;-0,4;-23,6;19420123;11,9;20070120;1924-2020;
20190104;-2,7;-0,3;-2,4;-0,3;-23,6;19420123;11,9;20070120;1924-2020;
20190103;-4,2;-0,3;-3,9;-0,3;-23,6;19420123;11,9;20070120;1924-2020;
20190102;2,6;-0,2;2,9;-0,2;-23,6;19420123;11,9;20070120;1924-2020;
20190101;4,3;-0,2;4,5;-0,2;-23,6;19420123;11,9;20070120;1924-2020;
20181231;4,1;-0,2;4,3;-0,2;-23,4;19381223;13,4;19251230;1924-2020;
20181230;1,7;-0,1;1,9;-0,1;-23,4;19381223;13,4;19251230;1924-2020;
20181229;-0,4;-0,1;-0,3;-0,1;-23,4;19381223;13,4;19251230;1924-2020;
20181228;-0,5;-0,1;-0,4;-0,1;-23,4;19381223;13,4;19251230;1924-2020;
20181227;-1,8;0,0;-1,8;0,0;-23,4;19381223;13,4;19251230;1924-2020;
20181226;-1,1;0,0;-1,1;0,0;-23,4;19381223;13,4;19251230;1924-2020;
20181225;-1,0;0,0;-1,0;0,0;-23,4;19381223;13,4;19251230;1924-2020;
20181224;5,4;0,0;5,4;0,0;-23,4;19381223;13,4;19251230;1924-2020;
20181223;7,1;0,1;7,0;0,1;-23,4;19381223;13,4;19251230;1924-2020;
20181222;9,9;0,1;9,8;0,1;-23,4;19381223;13,4;19251230;1924-2020;
20181221;5,8;0,1;5,7;0,1;-23,4;19381223;13,4;19251230;1924-2020;
20181220;4,8;0,2;4,6;0,2;-23,4;19381223;13,4;19251230;1924-2020;
20181219;-0,8;0,2;-1,0;0,2;-23,4;19381223;13,4;19251230;1924-2020;
20181218;-2,0;0,2;-2,2;0,2;-23,4;19381223;13,4;19251230;1924-2020;
20181217;0,5;0,3;0,2;0,3;-23,4;19381223;13,4;19251230;1924-2020;
20181216;-3,1;0,3;-3,4;0,3;-23,4;19381223;13,4;19251230;1924-2020;
20181215;-2,8;0,3;-3,1;0,3;-23,4;19381223;13,4;19251230;1924-2020;
20181214;-1,1;0,4;-1,5;0,4;-23,4;19381223;13,4;19251230;1924-2020;
20181213;-1,2;0,4;-1,6;0,4;-23,4;19381223;13,4;19251230;1924-2020;
20181212;-3,5;0,5;-4,0;0,5;-23,4;19381223;13,4;19251230;1924-2020;
20181211;-0,8;0,5;-1,3;0,5;-23,4;19381223;13,4;19251230;1924-2020;
20181210;4,6;0,6;4,0;0,6;-23,4;19381223;13,4;19251230;1924-2020;
20181209;7,8;0,6;7,2;0,6;-23,4;19381223;13,4;19251230;1924-2020;
20181208;5,3;0,7;4,6;0,7;-23,4;19381223;13,4;19251230;1924-2020;
20181207;10,9;0,7;10,2;0,7;-23,4;19381223;13,4;19251230;1924-2020;
20181206;6,0;0,8;5,2;0,8;-23,4;19381223;13,4;19251230;1924-2020;
20181205;4,8;0,9;3,9;0,9;-23,4;19381223;13,4;19251230;1924-2020;
20181204;6,9;0,9;6,0;0,9;-23,4;19381223;13,4;19251230;1924-2020;
20181203;12,0;1,0;11,0;1,0;-23,4;19381223;13,4;19251230;1924-2020;
20181202;8,0;1,1;6,9;1,1;-23,4;19381223;13,4;19251230;1924-2020;
20181201;3,9;1,2;2,8;1,2;-23,4;19381223;13,4;19251230;1924-2020;
